STATION,STATION_ID,StationName,Latitude,Longitude,FLOW,CALIB,id,FileName,Watershed
08LD001,ADAMS,ADAMS RIVER NEAR SQUILAX,50.96875,-119.65625,NAT,TRUE,31,ADAMS.csv,Fraser
08KG003,BAEZA,BAEZAEKO RIVER AT LOT 10262,52.96875,-123.84375,NAT,FALSE,NA,BAEZA.csv,Fraser
08KE016,BAKER,BAKER CREEK AT QUESNEL,52.96875,-122.59375,NAT,TRUE,20,BAKER.csv,Fraser
08LB020,BARRM,BARRIERE RIVER AT THE MOUTH,51.21875,-120.09375,NAT,TRUE,29,BARRM.csv,Fraser
08LB069,BARRS,BARRIERE RIVER BELOW SPRAGUE CREEK,51.28125,-119.90625,NAT,FALSE,NA,BARRS.csv,Fraser
BCHAL,BCHAL,ALOUETTE RIVER AT ALOUETTE DAM,49.28125,-122.46875,REG,TRUE,4,BCHAL.csv,Fraser
BCHLJ,BCHLJ,BRIDGE RIVER AT LA JOIE DAM,50.84375,-122.90625,REG,TRUE,5,BCHLJ.csv,Fraser
BCHSF,BCHSF,STAVE RIVER AT STAVE FALLS DAM,49.21875,-122.34375,REG,TRUE,7,BCHSF.csv,Fraser
BCHSG,BCHSG,SHUSWAP RIVER AT SUGAR DAM,50.34375,-118.53125,REG,TRUE,6,BCHSG.csv,Fraser
BCHST,BCHST,SETON RIVER AT SETON DAM,50.71875,-122.03125,REG,TRUE,9,BCHST.csv,Fraser
BCHTR,BCHTR,BRIDGE RIVER AT TERZAGHI DAM,50.78125,-122.21875,REG,TRUE,10,BCHTR.csv,Fraser
BCHWL,BCHWL,SHUSWAP RIVER AT WILSEY DAM,50.28125,-118.78125,REG,TRUE,11,BCHWL.csv,Fraser
08MB006,BIGCR,BIG CREEK ABOVE GROUNDHOG CREEK,51.46875,-123.09375,NAT,TRUE,40,BIGCR.csv,Fraser
08LF002,BONAP,BONAPARTE RIVER BELOW CACHE CREEK,50.78125,-121.28125,REG,TRUE,35,BONAP.csv,Fraser
08KD007,BOWRB,BOWRON RIVER BELOW BOX CANYON,54.03125,-122.09375,NAT,TRUE,18,BOWRB.csv,Fraser
08KD001,BOWRW,BOWRON RIVER NEAR WELLS,53.28125,-121.40625,NAT,FALSE,NA,BOWRW.csv,Fraser
08ME028,BRIDG,BRIDGE RIVER ABOVE DOWNTOWN LAKE,50.84375,-123.21875,NAT,FALSE,NA,BRIDG.csv,Fraser
08ME002,CAYOO,CAYOOSH CREEK NEAR LILLOOET,50.65625,-122.03125,REG,TRUE,43,CAYOO.csv,Fraser
08LC049,CHERR,CHERRY CREEK NEAR CHERRYVILLE,50.21875,-118.59375,NAT,FALSE,NA,CHERR.csv,Fraser
08MB005,CHILB,CHILCOTIN RIVER BELOW BIG CREEK,51.84375,-122.65625,NAT,TRUE,39,CHILB.csv,Fraser
08MB010,CHILC,CHILCOTIN RIVER ABOVE CLUSKO RIVER,52.40625,-124.15625,NAT,FALSE,NA,CHILC.csv,Fraser
08MA001,CHILK,CHILKO RIVER NEAR REDSTONE,52.03125,-123.59375,NAT,TRUE,37,CHILK.csv,Fraser
08MH001,CHILLI,CHILLIWACK RIVER AT VEDDER CROSSING,49.09375,-121.96875,NAT,TRUE,47,CHILLI.csv,Fraser
08LA007,CLEAO,CLEARWATER RIVER AT OUTLET OF CLEARWATER LAKE,52.15625,-120.21875,NAT,TRUE,27,CLEAO.csv,Fraser
08LA001,CLEAS,CLEARWATER RIVER NEAR CLEARWATER STATION,51.71875,-120.03125,NAT,TRUE,26,CLEAS.csv,Fraser
08MF068,COQUI,COQUIHALLA RIVER ABOVE ALEXANDER CREEK,49.40625,-121.34375,NAT,FALSE,NA,COQUI.csv,Fraser
08KE009,COTTO,COTTONWOOD RIVER NEAR CINEMA,53.15625,-122.46875,NAT,TRUE,19,COTTO.csv,Fraser
08KA001,DOREM,DORE RIVER NEAR MCBRIDE,53.28125,-120.28125,NAT,FALSE,NA,DOREM.csv,Fraser
08JD006,DRIFT,DRIFTWOOD RIVER ABOVE KASTBERG CREEK,55.96875,-126.65625,NAT,FALSE,NA,DRIFT.csv,Fraser
08LE024,EAGLE,EAGLE RIVER NEAR MALAKWA,50.96875,-118.78125,NAT,TRUE,32,EAGLE.csv,Fraser
08JB012,ENDAK,ENDAKO RIVER AT OUTLET OF BURNS LAKE,54.21875,-125.53125,NAT,FALSE,NA,ENDAK.csv,Fraser
08KA004,FRSHA,FRASER RIVER AT HANSARD,54.09375,-121.84375,NAT,TRUE,12,FRSHA.csv,Fraser
08MF005,FRSHP,FRASER RIVER AT HOPE,49.40625,-121.46875,REG,TRUE,44,FRSHP.csv,Fraser
08KA005,FRSMC,FRASER RIVER AT MCBRIDE,53.28125,-120.09375,NAT,TRUE,13,FRSMC.csv,Fraser
08MC018,FRSMG,FRASER RIVER NEAR MARGUERITE,52.53125,-122.46875,REG,TRUE,42,FRSMG.csv,Fraser
08MH024,FRSMS,FRASER RIVER AT MISSION,49.15625,-122.28125,REG,FALSE,NA,FRSMS.csv,Fraser
08MH028,FRSMT,FRASER RIVER AT THE MOUTH,49.09375,-123.09375,REG,TRUE,2,FRSMT.csv,Fraser
08MH126,FRSPM,FRASER RIVER AT PORT MANN PUMPING STATION,49.21875,-122.78125,REG,FALSE,NA,FRSPM.csv,Fraser
08KE018,FRSRG,FRASER RIVER AT SOUTH FORT GEORGE,53.90625,-122.71875,REG,FALSE,NA,FRSRG.csv,Fraser
08KA007,FRSRP,FRASER RIVER AT RED PASS,52.96875,-119.03125,NAT,TRUE,14,FRSRP.csv,Fraser
08KB001,FRSSH,FRASER RIVER AT SHELLEY,54.03125,-122.59375,NAT,FALSE,NA,FRSSH.csv,Fraser
08MF040,FRSTX,FRASER RIVER ABOVE TEXAS CREEK,50.59375,-121.84375,REG,FALSE,NA,FRSTX.csv,Fraser
08MG013,HARRI,HARRISON RIVER NEAR HARRISON HOT SPRINGS,49.28125,-121.84375,NAT,TRUE,46,HARRI.csv,Fraser
08KH010,HORSE,HORSEFLY RIVER ABOVE MCKINLEY CREEK,52.28125,-121.03125,NAT,TRUE,25,HORSE.csv,Fraser
08JE005,KAZCH,KAZCHEK CREEK NEAR THE MOUTH,54.90625,-125.09375,NAT,FALSE,NA,KAZCH.csv,Fraser
08KH025,LHRSE,LITTLE HORSEFLY RIVER ABOVE GRUHS LAKE,52.34375,-121.34375,NAT,FALSE,NA,LHRSE.csv,Fraser
08MG005,LILLO,LILLOOET RIVER NEAR PEMBERTON,50.34375,-122.84375,NAT,TRUE,45,LILLO.csv,Fraser
08LA008,MAHOO,MAHOOD RIVER AT OUTLET OF MAHOOD LAKE,51.90625,-120.28125,NAT,TRUE,28,MAHOO.csv,Fraser
08KB003,MCGRE,MCGREGOR RIVER AT LOWER CANYON,54.21875,-121.65625,NAT,TRUE,15,MCGRE.csv,Fraser
08KA011,MCLEN,MCLENNAN RIVER NEAR THE MOUTH,52.90625,-119.40625,NAT,FALSE,NA,MCLEN.csv,Fraser
08KH019,MOFFA,MOFFAT CREEK NEAR HORSEFLY,52.28125,-121.40625,NAT,FALSE,NA,MOFFA.csv,Fraser
08KA008,MOOSE,MOOSE RIVER NEAR RED PASS,52.96875,-118.78125,NAT,FALSE,NA,MOOSE.csv,Fraser
08MF065,NAHAT,NAHATLATCH RIVER BELOW TACHEWANA CREEK,49.96875,-121.84375,NAT,FALSE,NA,NAHAT.csv,Fraser
08KE036,NARCO,NARCOSLI CREEK BELOW RAMSEY CREEK,52.53125,-122.71875,NAT,FALSE,NA,NARCO.csv,Fraser
08JB003,NAUTL,NAUTLEY RIVER NEAR FORT FRASER,54.09375,-124.65625,NAT,TRUE,3,NAUTL.csv,Fraser
08KF001,NAZKO,NAZKO RIVER ABOVE MICHELLE CREEK,52.90625,-123.59375,NAT,TRUE,21,NAZKO.csv,Fraser
08JA017,NECHC,NECHAKO RIVER BELOW CHESLATTA FALLS,53.71875,-124.84375,REG,TRUE,0,NECHC.csv,Fraser
08JC002,NECHI,NECHAKO RIVER AT ISLE PIERRE,53.96875,-123.28125,REG,FALSE,NA,NECHI.csv,Fraser
08JC001,NECHV,NECHAKO RIVER AT VANDERHOOF,54.03125,-124.03125,REG,FALSE,NA,NECHV.csv,Fraser
08LG006,NICOL,NICOLA RIVER NEAR SPENCES BRIDGE,50.34375,-121.21875,REG,TRUE,36,NICOL.csv,Fraser
08LB047,NTHMB,NORTH THOMPSON RIVER AT BIRCH ISLAND,51.59375,-119.90625,NAT,TRUE,30,NTHMB.csv,Fraser
08LB064,NTHMM,NORTH THOMPSON RIVER AT MCLURE,51.03125,-120.21875,NAT,FALSE,NA,NTHMM.csv,Fraser
08KH001,QUESL,QUESNEL RIVER AT LIKELY,52.59375,-121.59375,NAT,TRUE,23,QUESL.csv,Fraser
08KH006,QUESQ,QUESNEL RIVER NEAR QUESNEL,52.84375,-122.21875,NAT,TRUE,24,QUESQ.csv,Fraser
08KC001,SALMO,SALMON RIVER NEAR PRINCE GEORGE,54.09375,-122.65625,NAT,TRUE,16,SALMO.csv,Fraser
08MC005,SANJO,SAN JOSE RIVER ABOVE BORLAND CREEK,52.03125,-121.90625,REG,TRUE,41,SANJO.csv,Fraser
08LE027,SEYMO,SEYMOUR RIVER NEAR SEYMOUR ARM,51.28125,-118.90625,NAT,TRUE,33,SEYMO.csv,Fraser
08LG008,SPIUS,SPIUS CREEK NEAR CANFORD,50.09375,-121.03125,NAT,FALSE,NA,SPIUS.csv,Fraser
08JB002,STELL,STELLAKO RIVER AT GLENANNAN,54.03125,-124.96875,NAT,TRUE,1,STELL.csv,Fraser
08LE031,STHOM,SOUTH THOMPSON RIVER AT CHASE,50.78125,-119.71875,NAT,TRUE,34,STHOM.csv,Fraser
08JE001,STUAR,STUART RIVER NEAR FORT ST. JAMES,54.40625,-124.28125,NAT,TRUE,8,STUAR.csv,Fraser
08MA003,TASEK,TASEKO RIVER AT OUTLET OF TASEKO LAKES,51.40625,-123.65625,NAT,TRUE,38,TASEK.csv,Fraser
08LF023,THOMK,THOMPSON RIVER NEAR KAMLOOPS,50.65625,-120.34375,NAT,FALSE,NA,THOMK.csv,Fraser
08LF051,THOMS,THOMPSON RIVER NEAR SPENCES BRIDGE,50.34375,-121.40625,NAT,FALSE,NA,THOMS.csv,Fraser
08KG001,WESTR,WEST ROAD RIVER NEAR CINEMA,53.28125,-122.90625,NAT,TRUE,22,WESTR.csv,Fraser
08KD006,WILLO,WILLOW RIVER ABOVE HAY CREEK,54.03125,-122.40625,NAT,TRUE,17,WILLO.csv,Fraser
08ME025,YALAK,YALAKOM RIVER ABOVE ORE CREEK,50.90625,-122.21875,NAT,FALSE,NA,YALAK.csv,Fraser
ALB,ALB,Albany,44.65625,-123.09375,REG,TRUE,,ALB.csv,Columbia
ANA,ANA,Anatone,46.09375,-116.96875,REG,TRUE,,ANA.csv,Columbia
08NL004,ASHNO,ASHNOLA RIVER NEAR KEREMEOS,49.15625,-119.96875,NAT,TRUE,,ASHNO.csv,Columbia
BDY,BDY,Boundary,48.90625,-117.34375,REG,TRUE,,BDY.csv,Columbia
08NB019,BEAVE,BEAVER RIVER NEAR THE MOUTH,51.46875,-117.46875,NAT,TRUE,,BEAVE.csv,Columbia
BFE,BFE,Bonners Ferry,48.71875,-116.21875,REG,TRUE,,BFE.csv,Columbia
BIGI,BIGI,Boise River at Glenwood Bridge nr Boise,43.65625,-116.28125,REG,TRUE,,BIGI.csv,Columbia
12344000,BITDA,Bitterroot River near Darby,45.96875,-114.15625,NAT,TRUE,,BITDA.csv,Columbia
BON,BON,Bonneville,45.65625,-121.96875,REG,TRUE,,BON.csv,Columbia
BRI,BRI,Brilliant,49.40625,-117.53125,REG,TRUE,,BRI.csv,Columbia
BRN,BRN,Brownlee,44.84375,-116.90625,REG,TRUE,,BRN.csv,Columbia
BruneauR,BruneauR,Bruneau River nr Hot Spring,42.78125,-115.71875,REG,TRUE,,BruneauR.csv,Columbia
08NG002,BULWA,BULL RIVER NEAR WARDNER,49.46875,-115.34375,REG,TRUE,,BULWA.csv,Columbia
CHL,CHL,Chelan,47.84375,-120.03125,REG,TRUE,,CHL.csv,Columbia
14233500,COWKO,COWLITZ RIVER NEAR KOSMOS,46.46875,-122.09375,NAT,TRUE,,COWKO.csv,Columbia
08NA002,CRNIC,COLUMBIA RIVER AT NICHOLSON,51.21875,-116.90625,NAT,TRUE,,CRNIC.csv,Columbia
CROO,CROO,CROOKED RIVER BELOW OPAL SPRINGS NEAR CULVER,44.40625,-121.21875,REG,TRUE,,CROO.csv,Columbia
BCHDN,DCD,DUNCAN RIVER AT DUNCAN DAM,50.40625,-116.96875,REG,TRUE,,DCD.csv,Columbia
DEX,DEX,Dexter,43.84375,-122.65625,REG,TRUE,,DEX.csv,Columbia
08NB005,DONAL,COLUMBIA RIVER AT DONALD,51.46875,-117.15625,NAT,TRUE,,DONAL.csv,Columbia
DWR,DWR,Dworshak,46.59375,-116.21875,REG,TRUE,,DWR.csv,Columbia
08NK002,ELKFE,ELK RIVER AT FERNIE,49.53125,-115.03125,NAT,TRUE,,ELKFE.csv,Columbia
12358500,FLAWE,M F Flathead River near West Glacier,48.46875,-114.03125,NAT,TRUE,,FLAWE.csv,Columbia
GCL,GCL,Grand Coulee,47.96875,-118.90625,REG,TRUE,,GCL.csv,Columbia
08NN002,GRANB,GRANBY RIVER AT GRAND FORKS,49.09375,-118.46875,NAT,TRUE,,GRANB.csv,Columbia
12424000,HANGM,HANGMAN CREEK AT SPOKANE,47.59375,-117.40625,NAT,TRUE,,HANGM.csv,Columbia
IHR,IHR,Ice Harbor,46.21875,-118.96875,REG,TRUE,,IHR.csv,Columbia
08ND013,ILLEC,ILLECILLEWAET RIVER AT GREELEY,51.03125,-118.09375,NAT,TRUE,,ILLEC.csv,Columbia
JDA,JDA,John Day,45.71875,-120.71875,REG,TRUE,,JDA.csv,Columbia
14189000,JFFO,SANTIAM RIVER AT JEFFERSON,44.71875,-123.03125,NAT,TRUE,,JFFO.csv,Columbia
12414500,JOECA,ST JOE RIVER AT CALDER,47.28125,-116.21875,NAT,TRUE,,JOECA.csv,Columbia
14048000,JOHND,JOHN DAY RIVER AT MCDONALD FERRY,45.59375,-120.40625,NAT,TRUE,,JOHND.csv,Columbia
KER,KER,Kerr,47.71875,-114.15625,REG,TRUE,,KER.csv,Columbia
12401500,KETFE,KETTLE RIVER NEAR FERRY,48.96875,-118.78125,NAT,TRUE,,KETFE.csv,Columbia
08NA006,KICHO,KICKING HORSE RIVER AT GOLDEN,51.28125,-116.90625,NAT,TRUE,,KICHO.csv,Columbia
KIMI,KIMI,Snake River nr Kimberly,42.59375,-114.34375,REG,TRUE,,KIMI.csv,Columbia
KIOW,KIOW,YAKIMA RIVER AT KIONA,46.28125,-119.46875,REG,TRUE,,KIOW.csv,Columbia
08NG065,KOOTE,KOOTENAY RIVER AT FORT STEELE,49.59375,-115.65625,NAT,TRUE,,KOOTE.csv,Columbia
08NH007,LARMA,LARDEAU RIVER AT MARBLEHEAD,50.34375,-117.03125,NAT,TRUE,,LARMA.csv,Columbia
LIB,LIB,Libby,48.40625,-115.28125,REG,TRUE,,LIB.csv,Columbia
LIM,LIM,Lime Point,46.03125,-116.90625,REG,TRUE,,LIM.csv,Columbia
LFL,LLK,Little Falls,47.84375,-117.71875,REG,TRUE,,LLK.csv,Columbia
LORI,LORI,Snake River at Lorenzo,43.71875,-111.84375,REG,TRUE,,LORI.csv,Columbia
Malheur,Malheur,Malheur River blw Nevada Dam nr Vale,44.03125,-117.28125,REG,TRUE,,Malheur.csv,Columbia
MAY,MAY,Mayfield,46.53125,-122.59375,REG,TRUE,,MAY.csv,Columbia
BCHMI,MCD,COLUMBIA RIVER AT MICA DAM,52.09375,-118.53125,REG,TRUE,,MCD.csv,Columbia
MER,MER,Aerial (Merwin),45.96875,-122.46875,REG,TRUE,,MER.csv,Columbia
12449950,METPA,METHOW RIVER NEAR PATEROS,48.09375,-119.96875,NAT,TRUE,,METPA.csv,Columbia
08NM116,MISSI,MISSION CREEK NEAR EAST KELOWNA,49.84375,-119.34375,REG,TRUE,,MISSI.csv,Columbia
MUC,MUC,Murphy Creek,49.28125,-117.65625,REG,TRUE,,MUC.csv,Columbia
08NM085,OKA,OKANAGAN RIVER NEAR OLIVER,49.09375,-119.53125,REG,TRUE,,OKA.csv,Columbia
08NM050,OKAPE,OKANAGAN RIVER AT PENTICTON,49.53125,-119.59375,REG,TRUE,,OKAPE.csv,Columbia
ORO,ORO,Orofino,46.40625,-116.15625,REG,TRUE,,ORO.csv,Columbia
PEL,PEL,Pelton,44.71875,-121.21875,REG,TRUE,,PEL.csv,Columbia
PLEI,PLEI,Payette River nr Leatha,43.90625,-116.65625,REG,TRUE,,PLEI.csv,Columbia
PRD,PRD,Priest Rapids,46.78125,-119.90625,REG,TRUE,,PRD.csv,Columbia
PRVO,PRVO,CROOKED RIVER NEAR PRINEVILLE,44.09375,-120.78125,REG,TRUE,,PRVO.csv,Columbia
REXI,REXI,Henrys Fork nr Rexburg,43.84375,-111.90625,REG,TRUE,,REXI.csv,Columbia
RML,RML,River Mill,45.28125,-122.34375,REG,TRUE,,RML.csv,Columbia
ROMO,ROMO,Owyhee River nr Rome,43.65625,-117.21875,REG,TRUE,,ROMO.csv,Columbia
BCHRE,RVC,COLUMBIA RIVER AT REVELSTOKE DAM,51.21875,-118.21875,REG,TRUE,,RVC.csv,Columbia
08NL038,SIMHE,SIMILKAMEEN RIVER NEAR HEDLEY,49.34375,-120.15625,NAT,TRUE,,SIMHE.csv,Columbia
12442500,SIMNI,SIMILKAMEEN RIVER NEAR NIGHTHAWK,48.96875,-119.59375,NAT,TRUE,,SIMNI.csv,Columbia
08NL007,SIMPR,SIMILKAMEEN RIVER AT PRINCETON,49.40625,-120.53125,NAT,TRUE,,SIMPR.csv,Columbia
SKHI,SKHI,Snake River at King Hill,42.96875,-115.21875,REG,TRUE,,SKHI.csv,Columbia
08NJ013,SLOCR,SLOCAN RIVER NEAR CRESCENT VALLEY,49.46875,-117.59375,NAT,TRUE,,SLOCR.csv,Columbia
SPD,SPD,Spalding,46.46875,-116.71875,REG,TRUE,,SPD.csv,Columbia
SVN,SVN,T.W. Sullivan,45.34375,-122.59375,REG,TRUE,,SVN.csv,Columbia
SWAI,SWAI,Snake River nr Murphy,43.28125,-116.40625,REG,TRUE,,SWAI.csv,Columbia
TDA,TDA,The Dalles,45.65625,-121.09375,REG,TRUE,,TDA.csv,Columbia
12389500,THOMP,Thompson River near Thompson Falls,47.65625,-115.15625,NAT,TRUE,,THOMP.csv,Columbia
TOM,TOM,Thompson Falls,47.59375,-115.28125,REG,TRUE,,TOM.csv,Columbia
08NL024,TULPR,TULAMEEN RIVER AT PRINCETON,49.46875,-120.53125,NAT,TRUE,,TULPR.csv,Columbia
14033500,UMATI,UMATILLA RIVER NEAR UMATILLA,45.84375,-119.34375,NAT,TRUE,,UMATI.csv,Columbia
12484500,UMTW,"Yakima River at Umtanum, WA",46.84375,-120.46875,REG,TRUE,,UMTW.csv,Columbia
14097100,WARMS,WARM SPRINGS RIVER NEAR KAHNEETA HOT SPRINGS,44.84375,-121.15625,NAT,TRUE,,WARMS.csv,Columbia
SEV,WAT,Seven Mile,49.03125,-117.53125,REG,TRUE,,WAT.csv,Columbia
WAV,WAV,Walterville,44.09375,-122.78125,REG,TRUE,,WAV.csv,Columbia
WEII,WEII,Snake River nr Weiser,44.21875,-117.03125,REG,TRUE,,WEII.csv,Columbia
12459000,WENPE,WENATCHEE RIVER AT PESHASTIN,47.59375,-120.59375,NAT,TRUE,,WENPE.csv,Columbia
WHB,WHB,White Bird,45.71875,-116.34375,REG,TRUE,,WHB.csv,Columbia
OUTLET,OUTLET,Matches Outlet Point for Columbia for 2860 Project,46.21875,-123.40625,NAT,TRUE,,OUTLET.csv,Columbia
